Postcode,Threshold1,Threshold2,Threshold3,Threshold4,CardsInForce0,CardsInForce1,CardsInForce2,Transactions,SpentAtMerchants,RetailTransactions,SpentAtRetailMerchants,DiningTransactions,SpentAtDiningMerchants,LodgeTransactions,SpentAtLodgeMerchants
2082,,,x,,1321,1275,46,"50,336","3,925,251.70",47139,3003128.96,2869,852526.34,16,14058.11
2083,x,,,,392,374,18,"3,168","999,201.78",489,568895.66,2536,357212.28,0,0
2084,,,x,,1750,1645,105,"103,297","14,119,904.81",60590,6883387.22,25926,3389214.3,1486,418247.21
2085,,,x,,5088,4813,275,"344,816","59,413,346.50",296053,44038267.09,4629,158627.1,0,0
2086,,,x,,5996,5125,871,"530,889","119,916,389.47",482848,101889737.5,19686,501479.68,13,2738.8
2087,,,x,,5484,5334,150,"278,998","20,315,945.86",198234,12749216.5,2401,106449.23,0,0
2088,,,x,,20067,19592,475,"617,771","84,556,589.09",399529,42944865.33,116161,14063458.19,4138,2310378.42
2089,,,x,,7714,7446,268,"743,181","57,393,506.90",626730,40728550.66,61555,4419117.11,222,362669.59
2090,,,x,,7755,7546,209,"198,555","26,743,091.72",94765,7645941.62,42404,1728189.46,735,323336.66
2092,x,,,,3969,3884,85,"19,893","2,968,465.85",9064,1270653.86,7325,317799.95,0,0
2093,,,x,,10134,9832,302,"765,770","75,647,581.04",710871,67447255.7,16816,1059546.63,0,0
2094,,,x,,3004,2939,65,"7,205","1,036,678.44",5730,774994.55,0,0,0,0
2095,,,x,,7654,7405,249,"549,187","54,580,130.73",346295,17850710.66,104536,12933361.69,43092,8435699.46
2096,,,x,,5554,5367,187,"51,865","7,092,879.79",25866,3012455.92,11015,1993763.58,3,1808.7
2097,,,x,,5471,5329,142,"49,346","6,086,258.06",39077,3258134.01,6177,373724.03,165,99345.95
2099,,,x,,10940,10639,301,"476,707","43,212,129.75",376067,24359928.06,43818,3792626.07,0,0
2100,,,x,,7519,7137,382,"1,128,514","150,069,844.51",1003700,127065149,41592,2393157.03,1431,559997.81
2101,,,x,,6106,5935,171,"254,145","21,554,755.30",162659,14119710.2,7868,1021277.3,54,59505.82
2102,,,x,,2348,2216,132,"282,058","72,638,463.03",246640,17655727.49,11751,198723.85,0,0
2103,,,x,,4123,3990,133,"563,652","62,778,480.50",470123,46214189.09,27012,1129995.45,0,0
2104,,,x,,1911,1861,50,"1,121","699,399.18",620,191259.56,418,51167.02,0,0
